CASE_NO,APPLICATION_TYPE,DECISION_DATE,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS_1,EMPLOYER_ADDRESS_2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,JOB_TITLE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,BASIC_HOURS_PER_WEEK,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,ALIEN_WORK_STATE
"C-07008-04085","H-2A","03/15/07 11:58:00","Certified - Full","4/15/2007","11/15/2007","BENNIE LADD FARMS","447 HWY 33",,"NEWPORT","AR","72112","ANJEANETTE CLARK","FARMWORKER, DIVERSIFIED CROPS II",1.5000000000000000e+01,1.5000000000000000e+01,4.0000000000000000e+01,8.0100,"hr","AR"
"C-06243-02887","H-2A","11/03/06 12:00:00","Denied","2/1/2007","12/3/2007","SHOFFNER FARM RESEARCH INC","191 JACKSON 136",,"NEWPORT","AR","72112",,"FARMWORKER, GENERAL I",2.0000000000000000e+01,,4.8000000000000000e+01,7.5800,"hr","AR"
"C-06248-02901","H-2A","10/16/06 15:36:00","Certified - Full","11/15/2006","4/15/2007","J.M. MALONE & SON, INC","PO BOX 158",,"LONOKE","AR","72086","USAMEX LTD CO. - DAVID DONALDSON","LABORER, AQUATIC LIFE",5.0000000000000000e+00,5.0000000000000000e+00,4.0000000000000000e+01,7.5800,"hr","AR"
"C-07170-05839","H-2A","07/25/07 11:58:00","Certified - Full","8/25/2007","1/15/2008","COBB GIN COMPANY","POST OFFICE BOX 125","474 MAIN STREET","KEO","AR","72083","AGWORKS,  INC.","FARMWORKER, FIELD CROP I",1.2000000000000000e+01,1.2000000000000000e+01,4.0000000000000000e+01,8.0100,"hr","AR"
"C-06326-03459","H-2A","12/29/06 13:34:00","Certified - Full","2/1/2007","12/1/2007","DOUBLE SPRINGS GRASS FARMS","PO BOX 8288",,"SEARCY","AR","72145","DAVID DONALDSON (USAMEX LTD CO.)","HORTICULTURAL WORKER I",3.0000000000000000e+01,3.0000000000000000e+01,4.0000000000000000e+01,7.5800,"hr","AR"
"C-06326-03467","H-2A","01/12/07 14:17:00","Certified - Full","2/15/2007","11/1/2007","CADRON CREST ORCHARD","PO BOX 240",,"GUY","AR","72061","ANJEANETTE CLARK","FARMWORKER, DIVERSIFIED CROPS II",6.0000000000000000e+00,6.0000000000000000e+00,4.8000000000000000e+01,7.5900,"hr","AR"
"C-06310-03269","H-2A","12/28/06 11:33:00","Certified - Full","2/1/2007","11/30/2007","BULLOCK FARMS","P.O. BOX 606",,"DEWITT","AR","72042","MATTHEW TOURTELLOTT","FARMWORKER, GRAIN I",1.6000000000000000e+01,1.6000000000000000e+01,3.5000000000000000e+01,7.8000,"hr","AR"
"C-07024-04468","H-2A","02/08/07 12:12:00","Certified - Full","3/9/2007","10/15/2007","HARRY SAUL MINNOW FARM, INC","PO BOX 286",,"DEVALLS BLUFF","AR","72041","DAVID DONALDSON (USAMEX LTD CO.)","FISH HATCHERY WORKER",6.0000000000000000e+00,6.0000000000000000e+00,4.0000000000000000e+01,7.5800,"hr","AR"
"C-06352-03816","H-2A","02/06/07 12:51:00","Certified - Full","3/1/2007","11/15/2007","DARRELL SAUL FARMS INC","8343 HIGHWAY 11 NORTH",,"DES ARC","AR","72040","DAVID DONALDSON (USAMEX LTD CO.)","FISH HATCHERY WORKER",8.0000000000000000e+00,8.0000000000000000e+00,4.2000000000000000e+01,7.5800,"hr","AR"
"C-07046-04833","H-2A","03/01/07 13:37:00","Certified - Full","4/1/2007","1/31/2008","T III FARMS","P.O. BOX 92",,"COY","AR","72037","ELAINE FLAMING","FARMWORKER, FIELD CROP II",4.0000000000000000e+00,4.0000000000000000e+00,4.8000000000000000e+01,7.5800,"hr","AR"
"C-06326-03462","H-2A","12/29/06 15:34:00","Certified - Full","2/1/2007","11/15/2007","ANDERSON BROS FISHERIES, INC","PO BOX 429",,"LONOKE","AR","72086","DAVID DONALDSON (USAMEX LTD CO.)","FISH HATCHERY WORKER",1.2000000000000000e+01,1.2000000000000000e+01,4.0000000000000000e+01,7.8000,"hr","AR"
"C-06277-03049","H-2A","10/19/06 08:32:00","Certified - Full","11/20/2006","3/1/2007","ANDERSON BROS FISHERIES, INC.","PO BOX 429",,"CARLISLE","AR","72024","DAVID DONALDSON (USAMEX LTD CO.)","FISH HATCHERY WORKER",3.0000000000000000e+00,3.0000000000000000e+00,4.0000000000000000e+01,7.8000,"hr","AR"
"C-06300-03209","H-2A","01/19/07 10:07:00","Certified - Full","2/15/2007","12/15/2007","JACK ODOM- ODOM FARMS","321 N. WINDWOOD HEIGHTS",,"CABOT","AR","72023",,"FARMWORKER, VEGETABLE II",2.5000000000000000e+01,2.5000000000000000e+01,4.0000000000000000e+01,7.8000,"hr","AR"
"C-06363-03949","H-2A","01/30/07 12:39:00","Certified - Full","3/1/2007","12/31/2007","SOUTHALL FARMS","1674 HWY 70 WEST","PO BOX 12","GLENWOOD","AR","71943",,"FARMWORKER GENERAL I",1.5000000000000000e+01,1.5000000000000000e+01,4.0000000000000000e+01,7.8000,"hr","AR"
"C-07022-04433","H-2A","02/12/07 15:47:00","Certified - Full","3/15/2007","11/30/2007","MOSS FARMS, INC.","1904 HWY. 138 E.",,"TILLAR","AR","71670-9306",,"FARMWORKER GENERAL 11",3.0000000000000000e+00,3.0000000000000000e+00,4.0000000000000000e+01,7.5800,"hr","AR"
"C-07022-04433","H-2A","02/12/07 15:47:00","Certified - Full","3/15/2007","11/30/2007","GREG DAY PARTNERSHIP","1390 HWY. 138 E.",,"TILLAR","AR","71670",,"FARMWORKER GENERAL 11",4.0000000000000000e+00,4.0000000000000000e+00,4.0000000000000000e+01,7.5800,"hr","AR"
"C-07022-04433","H-2A","02/12/07 15:47:00","Certified - Full","3/15/2007","11/30/2007","SCOTT DAY FARM","604 HWY. 138 E.",,"TILLAR","AR","71670",,"FARMWORKER GENERAL 11",1.1000000000000000e+01,1.1000000000000000e+01,4.0000000000000000e+01,7.5800,"hr","AR"
"C-07022-04433","H-2A","02/12/07 15:47:00","Certified - Full","3/15/2007","11/30/2007","GUY TEETER FARM","1623 HWY. 138 E.",,"TILLAR","AR","71670",,"FARMWORKER GENERAL 11",4.0000000000000000e+00,4.0000000000000000e+00,4.0000000000000000e+01,7.5800,"hr","AR"
"C-07022-04433","H-2A","02/12/07 15:47:00","Certified - Full","3/15/2007","11/30/2007","STEPCO, INC.","POST OFFICE BOX 251",,"MCGEHEE","AR","71654",,"FARMWORKER GENERAL 11",3.0000000000000000e+00,3.0000000000000000e+00,4.0000000000000000e+01,7.5800,"hr","AR"
"C-07022-04433","H-2A","02/12/07 15:47:00","Certified - Full","3/15/2007","11/30/2007","MILES & SONS FARMS, INC.","1103 CROOKED BAYOU DRIVE",,"MCGEHEE","AR","71654",,"FARMWORKER GENERAL 11",7.0000000000000000e+00,7.0000000000000000e+00,4.0000000000000000e+01,7.5800,"hr","AR"
"C-07022-04433","H-2A","02/12/07 15:47:00","Certified - Full","3/15/2007","11/30/2007","D.E. & K. FARMS PARTNERSHIP","POST OFFICE BOX 31",,"GRADY","AR","71644",,"FARMWORKER GENERAL 11",2.0000000000000000e+00,2.0000000000000000e+00,4.0000000000000000e+01,7.5800,"hr","AR"
"C-07022-04433","H-2A","02/12/07 15:47:00","Certified - Full","3/15/2007","11/30/2007","HILL SEED & FARMS","310 S. MAIN",,"DUMAS","AR","71639",,"FARMWORKER GENERAL 11",6.0000000000000000e+00,6.0000000000000000e+00,4.0000000000000000e+01,7.5800,"hr","AR"
"C-07211-06015","H-2A","08/21/07 10:31:00","Certified - Full","9/15/2007","7/1/2008","FORD FARM","4001 IRON MOUTAIN ROAD",,"JUNCTION CITY","AR","71749","DAVID DONALSON","FARM WORKER",3.0000000000000000e+00,3.0000000000000000e+00,4.0000000000000000e+01,8.0100,"hr","AR"
"C-07012-04257","H-2A","02/07/07 13:27:00","Certified - Full","3/7/2007","10/31/2007","KARL GIFFORD FARMS","470 LAMBERT ROAD",,"WILMAR","AR","71675","AGWORKS, INC.","FARMWORKER, VEGTEABLE I",4.5000000000000000e+01,4.5000000000000000e+01,3.6000000000000000e+01,7.5800,"hr","AR"
"C-07051-04898","H-2A","03/05/07 17:11:00","Certified - Full","4/5/2007","11/3/2007","A & A FARM","475 NORTH SECOND STREET",,"TILLAR","AR","71670","USAMEX - DAVID DONALDSON","FARMWORKER, RICE",6.0000000000000000e+00,6.0000000000000000e+00,4.0000000000000000e+01,7.8000,"hr","AR"
"C-07023-04451","H-2A","02/16/07 13:31:00","Certified - Full","3/18/2007","12/15/2007","RICH-ALL FARMS, INC.","POST OFFICE BOX 975",,"MCGEHEE","AR","71654","AGWORKS, INC.","FARMWORKER, RICE",5.0000000000000000e+00,5.0000000000000000e+00,4.0000000000000000e+01,7.5800,"hr","AR"
"C-06332-03517","H-2A","12/21/06 10:40:00","Certified - Full","1/20/2007","11/20/2007","SAMSON PARTNERSHIP","1108 NORTH 2ND STREET",,"MCGEHEE","AR","71654","AGWORKS,  INC.","FARMWORKER GRAIN II",1.5000000000000000e+01,1.5000000000000000e+01,5.4000000000000000e+01,7.5800,"hr","AR"
"C-06332-03517","H-2A","12/21/06 10:40:00","Certified - Full","1/20/2007","11/20/2007","TRINITY FARMS PARTNERSHIP","1108 NORTH 2ND STREET",,"MCGEHEE","AR","71654",,"FARMWORKER GRAIN II",8.0000000000000000e+00,8.0000000000000000e+00,5.4000000000000000e+01,7.5800,"hr","AR"
"C-06314-03314","H-2A","12/15/06 10:09:00","Certified - Full","1/15/2007","11/15/2007","B&B MENCER FARM","2070 HIGHWAY 35 SOUTH",,"LAKE VILLAGE","AR","71653","AGWORKS, INC.","FARMWORKER, RICE",1.5000000000000000e+01,1.5000000000000000e+01,4.0000000000000000e+01,7.5800,"hr","AR"
"C-07192-05926","H-2A","08/02/07 13:28:00","Certified - Full","8/28/2007","11/30/2007","P & H FORESTRY, LLC FARM DIVISION","822 HWY 160 E",,"HERMITAGE","AR","71647",,"FARMWORKER VEGETABLE II",1.8000000000000000e+02,1.8000000000000000e+02,3.6000000000000000e+01,8.0100,"hr","AR"
"C-07026-04529","H-2A","03/02/07 11:57:00","Certified - Full","4/1/2007","12/20/2007","CARPENTERS PRODUCE","POST OFFICE BOX 355",,"GRADY","AR","71644","AGWORKS, INC.","FARMWORKER, DIVERSIFIED CROPS I",1.5000000000000000e+01,1.5000000000000000e+01,4.0000000000000000e+01,7.5800,"hr","AR"
"C-07033-04615","H-2A","02/21/07 17:12:00","Certified - Full","3/22/2007","12/15/2007","C & D FARMS","2515 HIGHWAY 425",,"PINE BLUFF","AR","71601","USAMEX - DAVID DONALDSON","FARMWORKER, GRAIN I",5.0000000000000000e+00,5.0000000000000000e+00,4.2000000000000000e+01,7.8000,"hr","AR"
"C-07113-05516","H-2A","05/31/07 15:26:00","Certified - Full","7/1/2007","4/15/2008","GREEN EGG FARM","188 BRADLEY ROAD 274",,"WARREN","AR","71672","AGWORKS,  INC.","FARMWORKER, POULTRY",7.0000000000000000e+00,7.0000000000000000e+00,3.6000000000000000e+01,8.0100,"hr","AR"
"C-07096-05398","H-2A","04/26/07 16:41:00","Certified - Full","5/28/2007","7/21/2007","ROYAL C FARMS","273 ASHLEY 289",,"CROSSETT","AR","71635","AGWORKS,  INC.","FARMWORKER, VEGETABLE II",3.0000000000000000e+01,3.0000000000000000e+01,3.6000000000000000e+01,8.0100,"hr","AR"
"C-07061-05053","H-2A","03/23/07 13:48:00","Certified - Full","4/15/2007","11/23/2007","MATTHEWS SWEET POTATO FARM","18 CR 377",,"WYNNE","AR","72396","AGWORKS,  INC.","FARMWORKER, DIVERSIFIED CROPS II",1.5000000000000000e+01,1.5000000000000000e+01,4.0000000000000000e+01,8.0100,"hr","AR"
"C-07061-05053","H-2A","03/23/07 13:48:00","Certified - Full","4/15/2007","11/23/2007","WAYNE WILKINSON FARMS II","42 CR 395",,"WYNNE","AR","72396",,"FARMWORKER, DIVERSIFIED CROPS II",4.0000000000000000e+00,4.0000000000000000e+00,4.0000000000000000e+01,8.0100,"hr","AR"
"C-07061-05053","H-2A","03/23/07 13:48:00","Certified - Full","4/15/2007","11/23/2007","L&N AG INC","15337 HWY 70",,"BRINKLEY","AR","72021",,"FARMWORKER, DIVERSIFIED CROPS II",3.0000000000000000e+00,3.0000000000000000e+00,4.0000000000000000e+01,8.0100,"hr","AR"
"C-07093-05362","H-2A","04/20/07 10:17:00","Certified - Full","5/7/2007","6/25/2007","JIMMY HARPER FARMS","951 B BOBBY HARPER RD.",,"EUPORA","AR","71640","INTERNATIONAL LABOR MANAGEMENT CORP","FARMWORKER VEGETABLE II",2.5000000000000000e+01,2.5000000000000000e+01,4.0000000000000000e+01,8.0100,"hr","AR"
"C-07078-05232","H-2A","04/13/07 12:08:00","Certified - Full","5/15/2007","7/31/2007","TRIPLE M FARMS OF ASHLEY COUNTY, L.L.C.","2383 HIGHWAY 189 NORTH",,"HAMBURG","AR","71646","AGWORKS, INC.","FARMWORKER DIVERSIFIED CROPS II",1.2000000000000000e+02,1.2000000000000000e+02,3.6000000000000000e+01,8.0100,"hr","AR"
"C-07058-04998","H-2A","03/16/07 08:27:00","Certified - Full","4/15/2007","11/1/2007","PAT H. HENDERSON FARMS","2104 RAY-DEAN RD",,"TUCKER","AR","72168","ELAINE FLAMING","FARMWORKER GRAIN I",2.0000000000000000e+00,2.0000000000000000e+00,4.8000000000000000e+01,8.0100,"hr","AR"
"C-07046-04838","H-2A","03/29/07 08:15:00","Certified - Full","5/1/2007","7/15/2007","PITTS FARMS, INC  - JOE PITTS & GROVER PITTS","148 N. WALLER ROAD",,"BALD KNOB","AR","72010",,"FARMWORKER FRUIT II",1.8000000000000000e+01,1.8000000000000000e+01,4.2000000000000000e+01,7.5800,"hr","AR"
"C-07017-04308","H-2A","02/02/07 11:52:00","Certified - Full","3/5/2007","7/21/2007","LANARK FARMS, INC.","188 BRADLEY 274","HIGHWAY 278 WEST","WARREN","AR","71671","AGWORKS, INC.","FARMWORKER, VEGETABLE I",3.3000000000000000e+01,3.3000000000000000e+01,3.6000000000000000e+01,7.5800,"hr","AR"
"C-07011-04221","H-2A","02/12/07 15:44:00","Certified - Full","3/15/2007","10/31/2007","NOBLE FARM, INC.","1021 GLOVER DRIVE",,"DEWITT","AR","72042","USA WORKS...FOR YOU (JANE WRIGHT)","FARMWORKER, GRAIN I",1.0000000000000000e+01,1.0000000000000000e+01,3.5000000000000000e+01,7.5800,"hr","AR"
"C-07024-04459","H-2A","02/08/07 12:20:00","Certified - Full","3/10/2007","11/15/2007","LONG LAKE PLANTATION","296 PHILLIPS 401 RD",,"HELENA","AR","72342","AGRI PLACEMENTS INT'L- ELAINE FLAMING","FARMWORKER, FIELD CROPS II",1.2000000000000000e+01,1.2000000000000000e+01,4.8000000000000000e+01,7.5800,"hr","AR"
"C-07030-04574","H-2A","02/12/07 10:43:00","Certified - Full","3/15/2007","1/15/2008","RANDY HARDIN FARMS","POB 208 HWY 655 AND #1 DISASTER ROAD",,"GRADY","AR","71644","CRAIG EURY","FARMWORKER VEGETABLE II",1.8000000000000000e+01,1.8000000000000000e+01,4.0000000000000000e+01,7.5800,"hr","AR"
"C-07019-04403","H-2A","02/12/07 15:39:00","Certified - Full","3/15/2007","12/15/2007","DOUBLE H ARGI LLC","5161 HWY 243 N RD",,"MARVELL","AR","72366","ELAINE FLAMING","FARM WORKER GRAIN I",6.0000000000000000e+00,6.0000000000000000e+00,4.8000000000000000e+01,7.5800,"hr","AR"
"C-07003-04003","H-2A","01/17/07 10:24:00","Certified - Full","2/17/2007","12/15/2007","FORD FARM","4001 IRON MOUNTAIN ROAD",,"JUNCTION CITY","AR","71749","DAVID DONALDSON (USAMEX LTD CO.)","FARMWORKER, VEGETABLE II",5.0000000000000000e+00,5.0000000000000000e+00,4.0000000000000000e+01,7.5800,"hr","AR"
"C-06355-03878","H-2A","01/16/07 16:51:00","Certified - Full","2/15/2007","11/30/2007","CARL LOEWER FARMING CO.","662 CR 511",,"WYNNE","AR","72396","ELAINE FLAMING","FARMWORKER, GENERAL I",3.0000000000000000e+00,3.0000000000000000e+00,4.8000000000000000e+01,7.5800,"hr","AR"
"C-07017-04306","H-2A","01/17/07 10:12:00","Certified - Full","2/17/2007","10/31/2007","LARRY KEN CULIPHER","1992 PRIVATE ROAD 1001",,"TEXARKANA","AR","71854",,"FARMWORKER, GENERAL I",1.0000000000000000e+00,1.0000000000000000e+00,4.0000000000000000e+01,7.5800,"hr","AR"
"C-06334-03559","H-2A","01/29/07 10:03:00","Certified - Full","3/1/2007","11/15/2007","JIMEL FARMS INC.","5990 HWY 238",,"MORO","AR","72368",,"FARMWORKER, GENERAL I",2.0000000000000000e+00,2.0000000000000000e+00,1.0000000000000000e+01,7.5800,"hr","AR"
"C-06342-03654","H-2A","01/12/07 14:21:00","Certified - Full","2/15/2007","12/15/2007","J.M. MALONE & SON, INC","PO BOX 158",,"LONOKE","AR","72086","DAVID DONALDSON (USAMEX LTD CO.)","FARMWORKER, GENERAL I",1.2000000000000000e+01,1.2000000000000000e+01,4.0000000000000000e+01,7.8000,"hr","AR"
"C-06345-03682","H-2A","01/10/07 15:41:00","Certified - Full","2/10/2007","12/10/2007","BRANTLEY FARMING COMPANY","4091 CENTRAL HIGH ROAD",,"ENGLAND","AR","72046","DAVID DONALDSON (USAMEX LTD CO.)","FARMWORKER, GENERAL I",5.0000000000000000e+00,5.0000000000000000e+00,4.5000000000000000e+01,7.5800,"hr","AR"
